conv_parameters,occurrences,models
1 512 14 14 1024 1 1 0 0 0 0 1 1 1 1 1 0 0,288,resnext50_32x4d resnest14d seresnext101d_32x8d tresnet_v2_l legacy_seresnext50_32x4d dpn48b seresnext26d_32x4d vit_base_resnet50d_224 convformer_b36 res2net101d resnest26d seresnext101_32x4d skresnet50d resnetv2_50d_evos resnest50d_1s4x24d seresnetaa50d resnetv2_50t resnet50_clip_gap resnetaa50d dla60_res2next resnetv2_50d_gn dla102x2 ecaresnext50t_32x4d hgnetv2_b3 wide_resnet50_2 wide_resnet101_2 skresnext50_32x4d vit_small_resnet50d_s16_224 resnet26d hgnetv2_b4 resnetv2_152d hgnetv2_b6 resnet50_clip resnet101_clip_gap hgnetv2_b5 resnetblur50d resnet50t dla102x ecaresnext26t_32x4d vit_base_resnet26d_224 legacy_seresnext101_32x4d resnetblur101d resnetaa101d resnet50d resnet101_clip levit_conv_512d levit_conv_384_s8 resnetv2_101d seresnext26t_32x4d ecaresnet50d resnetv2_50d_frn resnext101_32x4d vit_small_resnet26d_224 ecaresnet101d resnetv2_50d legacy_seresnext26_32x4d resnest50d res2net50d resnest50d_4s2x40d dla60x ecaresnetlight seresnext50_32x4d res2next50 resnext50d_32x4d levit_conv_512 seresnet50t
1 512 1 1 32 1 1 0 0 0 0 1 1 1 1 1 0 1,268,seresnext101d_32x8d legacy_seresnext50_32x4d seresnext26d_32x4d seresnext101_64x4d maxvit_tiny_rw_256 maxvit_tiny_tf_512 seresnet50 maxvit_large_tf_384 seresnext101_32x4d maxvit_tiny_tf_224 seresnet50t maxvit_pico_rw_256 maxvit_large_tf_224 seresnextaa201d_32x8d legacy_seresnet18 seresnet101 seresnetaa50d legacy_seresnet50 tf_efficientnetv2_s maxvit_tiny_tf_384 maxvit_tiny_pm_256 maxvit_t seresnext101_32x8d maxvit_rmlp_nano_rw_256 seresnext26ts efficientnetv2_rw_s seresnet152 seresnet152d maxvit_rmlp_tiny_rw_256 sedarknet21 maxvit_nano_rw_256 seresnextaa101d_32x8d seresnet34 legacy_seresnext101_32x4d efficientnetv2_s maxvit_rmlp_pico_rw_256 maxvit_large_tf_512 nf_seresnet50 seresnext26t_32x4d legacy_seresnet34 legacy_senet154 seresnet269d senet154 legacy_seresnext26_32x4d maxvit_tiny_rw_224 cs3sedarknet_xdw efficientnet_v2_s seresnet18 seresnet200d nf_seresnet26 nf_seresnet101 seresnext50_32x4d coatnet_2_224 legacy_seresnet152 legacy_seresnet101
1 32 1 1 512 1 1 0 0 0 0 1 1 1 1 1 0 1,268,seresnext101d_32x8d legacy_seresnext50_32x4d seresnext26d_32x4d seresnext101_64x4d maxvit_tiny_rw_256 maxvit_tiny_tf_512 seresnet50 maxvit_large_tf_384 seresnext101_32x4d maxvit_tiny_tf_224 seresnet50t maxvit_pico_rw_256 maxvit_large_tf_224 seresnextaa201d_32x8d legacy_seresnet18 seresnet101 seresnetaa50d legacy_seresnet50 tf_efficientnetv2_s maxvit_tiny_tf_384 maxvit_tiny_pm_256 maxvit_t seresnext101_32x8d maxvit_rmlp_nano_rw_256 seresnext26ts efficientnetv2_rw_s seresnet152 seresnet152d maxvit_rmlp_tiny_rw_256 sedarknet21 maxvit_nano_rw_256 seresnextaa101d_32x8d seresnet34 legacy_seresnext101_32x4d efficientnetv2_s maxvit_rmlp_pico_rw_256 maxvit_large_tf_512 nf_seresnet50 seresnext26t_32x4d legacy_seresnet34 legacy_senet154 seresnet269d senet154 legacy_seresnext26_32x4d maxvit_tiny_rw_224 cs3sedarknet_xdw efficientnet_v2_s seresnet18 seresnet200d nf_seresnet26 nf_seresnet101 seresnext50_32x4d coatnet_2_224 legacy_seresnet152 legacy_seresnet101
1 512 28 28 128 1 1 0 0 0 0 1 1 1 1 1 0 0,267,resnetblur50 resnet50s efficientvit_l1 convformer_s36 tresnet_v2_l vit_base_resnet50d_224 poolformerv2_s24 resnet200 seresnet50 resnest26d resnet101s seresnet50t skresnet50d resnetv2_50d_evos seresnet101 resnetv2_50t legacy_seresnet50 seresnetaa50d coatnet_nano_cc_224 resnet50_clip_gap resnet152s resnetaa50d resnetv2_50d_gn resnet101 poolformerv2_s36 vit_small_resnet50d_s16_224 convformer_s18 resnet26d resnetv2_152d resnet50_clip resnet152 resnetv2_101 resnet101_clip_gap seresnet152 resnetblur50d resnet50t resnet26 vit_base_resnet26d_224 efficientvit_b3 resnetblur101d resnetaa101d resnet50d resnet101_clip resnetv2_101d resnet50c ecaresnet50d resnetv2_50d_frn vit_small_resnet26d_224 ecaresnet101d resnetv2_50d resnetv2_152 resnet101c maxvit_tiny_rw_224 resnest50d skresnet50 resnet50_gn resnetaa50 poolformerv2_s12 caformer_s36 efficientvit_l2 resnet50 resnetv2_50 caformer_s18 legacy_seresnet152 resnet152c legacy_seresnet101
1 512 32 32 128 1 1 0 0 0 0 1 1 1 1 1 0 0,258,bat_resnext26ts resnet101d resnext26ts eca_resnext26ts maxvit_tiny_rw_256 resnetrs270 regnetz_d8 resnet32ts eca_botnext26ts_256 regnetz_d32 botnet50ts_256 resnet50_mlp resnest101e maxvit_tiny_pm_256 gcresnet33ts maxvit_rmlp_nano_rw_256 lambda_resnet50ts seresnext26ts resnet33ts gcresnet50t gcresnext26ts seresnet152d maxvit_rmlp_tiny_rw_256 resnet152d regnetz_d8_evos maxvit_nano_rw_256 lamhalobotnet50ts_256 lambda_resnet26rpt_256 halo2botnet50ts_256 ecaresnet50t resnet61q eca_resnet33ts resnetrs152 sebotnet33ts_256 seresnet269d resnet200d botnet26t_256 resnet26t ecaresnet200d lambda_resnet26t sehalonet33ts eca_halonext26ts gcresnext50ts resnet51q ecaresnet26t halonet26t seresnet33ts seresnet200d halonet50ts resnetrs200
1 1536 14 14 384 1 1 0 0 0 0 1 1 1 1 1 0 1,254,poolformer_m36 coatnet_0_224 coatnet_rmlp_1_rw_224 efficientformer_l7 coatnet_0_rw_224 coatnet_bn_0_rw_224 maxvit_small_tf_224 maxvit_base_tf_224 inception_next_tiny coatnet_1_224 poolformer_m48 coatnet_rmlp_0_rw_224 focalnet_small_srf focalnet_tiny_lrf focalnet_small_lrf focalnet_tiny_srf inception_next_small coatnet_1_rw_224 coatnet_rmlp_1_rw2_224 convnext_tiny_hnf
1 128 32 32 128 3 3 1 1 1 1 1 1 1 1 1 0 0,246,resnet101d resnetrs270 resnet32ts botnet50ts_256 resnet50_mlp cspdarknet53 gcresnet33ts lambda_resnet50ts resnet33ts gcresnet50t seresnet152d resnet152d lamhalobotnet50ts_256 lambda_resnet26rpt_256 halo2botnet50ts_256 ecaresnet50t cspresnet50d eca_resnet33ts resnetrs152 sebotnet33ts_256 seresnet269d resnet200d botnet26t_256 resnet26t cs3darknet_focus_l cs3sedarknet_l ecaresnet200d lambda_resnet26t sehalonet33ts cspresnet50 cs3sedarknet_xdw cs3darknet_l ecaresnet26t halonet26t seresnet33ts seresnet200d halonet50ts resnetrs200
1 192 14 14 192 3 3 1 1 1 1 1 1 1 1 1 0 0,240,eca_vovnet39b repvgg_a0 ese_vovnet57b vovnet57a res2net50_48w_2s hrnet_w48 ese_vovnet99b hrnet_w48_ssld vovnet39a ese_vovnet39b_evos hgnet_small ese_vovnet39b
1 512 1 1 128 1 1 0 0 0 0 1 1 1 1 1 0 1,239,resnetrs350 coatnet_2_rw_224 coatnet_rmlp_2_rw_384 efficientvit_m3 regnety_040_sgn coatnet_pico_rw_224 regnetv_040 resnetrs270 nfnet_l0 regnetz_d8 repvit_m1_1 regnetz_d32 efficientvit_m0 coatnet_nano_cc_224 efficientvit_m4 lcnet_100 resnetrs50 repvit_m3 regnetz_d8_evos regnety_040 coatnet_rmlp_2_rw_224 efficientvit_m1 repvit_m2 resnetrs152 efficientvit_m2 cs3sedarknet_l coatnet_rmlp_nano_rw_224 fastvit_mci1 coatnet_nano_rw_224 resnetrs101 fastvit_mci0 repvit_m1_5 resnetrs420 resnetrs200
1 384 14 14 1536 1 1 0 0 0 0 1 1 1 1 1 0 1,236,poolformer_m36 coatnet_0_224 coatnet_rmlp_1_rw_224 efficientformer_l7 coatnet_0_rw_224 coatnet_bn_0_rw_224 rdnet_small inception_next_tiny coatnet_1_224 poolformer_m48 coatnet_rmlp_0_rw_224 focalnet_small_srf focalnet_tiny_lrf focalnet_small_lrf focalnet_tiny_srf inception_next_small coatnet_1_rw_224 coatnet_rmlp_1_rw2_224 convnext_tiny_hnf
