conv_parameters,occurrences
1 80 28 28 320 3 3 1 1 1 1 1 1 1 1 1 0 0,1
1 128 3 3 256 3 3 0 0 0 0 1 1 1 1 1 0 1,1
1 32 80 80 32 3 3 1 1 1 1 1 1 1 1 1 0 0,1
1 32 80 80 64 3 3 1 1 1 1 1 1 1 1 1 0 0,1
1 32 96 96 32 3 3 1 1 1 1 1 1 1 1 1 0 0,1
1 32 96 96 64 3 3 1 1 1 1 1 1 1 1 1 0 0,1
1 40 120 120 16 3 3 1 1 1 1 1 1 1 1 1 0 0,1
1 40 65 65 10 3 3 1 1 1 1 1 1 1 1 1 0 0,1
1 45 56 56 25 3 3 1 1 1 1 1 1 1 1 1 0 0,1
1 32 14 14 64 3 3 1 1 1 1 1 1 1 1 1 0 0,1
1 32 149 149 64 3 3 0 0 0 0 1 1 1 1 1 0 0,1
1 32 192 192 64 3 3 1 1 1 1 1 1 1 1 1 0 0,1
1 32 28 28 96 3 3 1 1 1 1 1 1 1 1 1 0 0,1
1 32 7 7 128 3 3 1 1 1 1 1 1 1 1 1 0 0,1
1 47 56 56 18 3 3 1 1 1 1 1 1 1 1 1 0 0,1
1 48 113 113 24 2 2 0 0 0 0 1 1 1 1 1 0 0,1
1 48 20 20 48 3 3 1 1 1 1 1 1 1 1 1 0 0,1
1 256 17 17 256 1 7 3 3 0 0 1 1 1 1 1 0 0,1
1 32 14 14 128 3 3 1 1 1 1 1 1 1 1 1 0 0,1
1 48 32 32 48 3 3 1 1 1 1 1 1 1 1 1 0 0,1
1 48 56 56 76 3 3 1 1 1 1 1 1 1 1 1 0 0,1
1 48 56 56 83 3 3 1 1 1 1 1 1 1 1 1 0 0,1
1 48 7 7 128 3 3 1 1 1 1 1 1 1 1 1 0 0,1
1 16 28 28 32 3 3 1 1 1 1 1 1 1 1 1 0 0,1
1 24 224 224 96 3 3 1 1 1 1 1 1 1 1 1 0 0,1
1 3 300 300 64 3 3 1 1 1 1 1 1 1 1 1 0 1,1
1 32 10 10 128 3 3 1 1 1 1 1 1 1 1 1 0 0,1
1 32 104 104 16 3 3 1 1 1 1 1 1 1 1 1 0 0,1
1 32 112 112 128 3 3 1 1 1 1 1 1 1 1 1 0 0,1
1 32 128 128 128 3 3 1 1 1 1 1 1 1 1 1 0 0,1
1 256 17 17 320 7 1 0 0 3 3 1 1 1 1 1 0 0,1
1 16 80 80 16 3 3 1 1 1 1 1 1 1 1 1 0 0,1
1 16 80 80 32 3 3 1 1 1 1 1 1 1 1 1 0 0,1
1 16 96 96 16 3 3 1 1 1 1 1 1 1 1 1 0 0,1
1 52 56 56 22 3 3 1 1 1 1 1 1 1 1 1 0 0,1
1 53 56 56 20 3 3 1 1 1 1 1 1 1 1 1 0 0,1
1 60 56 56 27 3 3 1 1 1 1 1 1 1 1 1 0 0,1
1 24 113 113 48 2 2 0 0 0 0 1 1 1 1 1 0 0,1
1 24 128 128 48 3 3 1 1 1 1 1 1 1 1 1 0 0,1
1 16 104 104 16 3 3 1 1 1 1 1 1 1 1 1 0 0,1
1 16 113 113 8 2 2 0 0 0 0 1 1 1 1 1 0 0,1
1 16 120 120 16 3 3 1 1 1 1 1 1 1 1 1 0 0,1
1 16 14 14 48 3 3 1 1 1 1 1 1 1 1 1 0 0,1
1 64 128 128 128 3 3 1 1 1 1 1 1 1 1 1 0 0,1
1 64 16 16 64 3 3 1 1 1 1 1 1 1 1 1 0 0,1
1 64 160 160 128 3 3 1 1 1 1 1 1 1 1 1 0 0,1
1 64 160 160 64 3 3 1 1 1 1 1 1 1 1 1 0 0,1
1 64 20 20 128 3 3 1 1 1 1 1 1 1 1 1 0 1,1
1 64 208 208 128 3 3 1 1 1 1 1 1 1 1 1 0 0,1
1 64 208 208 64 3 3 1 1 1 1 1 1 1 1 1 0 0,1
1 64 27 27 256 3 3 1 1 1 1 1 1 1 1 1 0 1,1
1 64 28 28 256 3 3 1 1 1 1 1 1 1 1 1 0 0,1
1 64 28 28 32 3 3 1 1 1 1 1 1 1 1 1 0 0,1
1 64 28 28 48 3 3 1 1 1 1 1 1 1 1 1 0 0,1
1 128 5 5 256 3 3 0 0 0 0 1 1 1 1 1 0 1,1
1 64 56 56 35 3 3 1 1 1 1 1 1 1 1 1 0 0,1
1 64 73 73 64 1 7 3 3 0 0 1 1 1 1 1 0 0,1
1 64 73 73 64 7 1 0 0 3 3 1 1 1 1 1 0 0,1
1 80 8 8 80 3 3 1 1 1 1 1 1 1 1 1 0 0,1
