ID,Image batch,Image channel,Image height,Image width,Output depth,Output height,Output width,Filter height,Filter width,Padding top,Padding bottom,Padding left,Padding right,Stride height,Stride width,Dilation height,Dilation width,Grouped
819,1,320,8,8,160,8,8,3,3,1,1,1,1,1,1,1,1,1
820,1,128,32,32,64,32,32,3,3,1,1,1,1,1,1,1,1,1
821,1,80,16,16,80,16,16,3,3,1,1,1,1,1,1,1,1,1
822,1,160,16,16,80,16,16,3,3,1,1,1,1,1,1,1,1,1
823,1,96,8,8,96,8,8,3,3,1,1,1,1,1,1,1,1,1
824,1,192,8,8,96,8,8,3,3,1,1,1,1,1,1,1,1,1
825,1,48,32,32,48,32,32,3,3,1,1,1,1,1,1,1,1,1
826,1,96,32,32,48,32,32,3,3,1,1,1,1,1,1,1,1,1
827,1,64,16,16,64,16,16,3,3,1,1,1,1,1,1,1,1,1
828,1,128,16,16,64,16,16,3,3,1,1,1,1,1,1,1,1,1
829,1,80,8,8,80,8,8,3,3,1,1,1,1,1,1,1,1,1
830,1,160,8,8,80,8,8,3,3,1,1,1,1,1,1,1,1,1
831,1,3,256,256,56,128,128,3,3,1,1,1,1,2,2,1,1,1
832,1,3,331,331,96,165,165,3,3,0,0,0,0,2,2,1,1,1
833,1,128,56,56,256,56,56,3,3,1,1,1,1,1,1,1,1,1
834,1,256,28,28,512,28,28,3,3,1,1,1,1,1,1,1,1,1
835,1,96,56,56,192,56,56,3,3,1,1,1,1,1,1,1,1,1
836,1,192,28,28,384,28,28,3,3,1,1,1,1,1,1,1,1,1
837,1,64,112,112,32,112,112,3,3,1,1,1,1,1,1,1,1,1
838,1,3,224,224,64,112,112,7,7,3,3,3,3,2,2,1,1,1
839,1,128,56,56,128,28,28,3,3,1,1,1,1,2,2,1,1,1
840,1,128,28,28,128,28,28,3,3,1,1,1,1,1,1,1,1,1
841,1,256,28,28,256,14,14,3,3,1,1,1,1,2,2,1,1,1
842,1,256,14,14,256,14,14,3,3,1,1,1,1,1,1,1,1,1
843,1,512,14,14,512,7,7,3,3,1,1,1,1,2,2,1,1,1
844,1,512,7,7,512,7,7,3,3,1,1,1,1,1,1,1,1,1
845,1,3,192,192,40,96,96,3,3,1,1,1,1,2,2,1,1,1
846,1,3,256,256,40,128,128,3,3,1,1,1,1,2,2,1,1,1
847,1,3,240,240,40,120,120,3,3,1,1,1,1,2,2,1,1,1
848,1,3,288,288,40,144,144,3,3,1,1,1,1,2,2,1,1,1
849,1,3,320,320,48,160,160,3,3,1,1,1,1,2,2,1,1,1
850,1,3,384,384,64,192,192,3,3,1,1,1,1,2,2,1,1,1
851,1,3,256,256,64,128,128,7,7,3,3,3,3,2,2,1,1,1
852,1,128,64,64,128,32,32,3,3,1,1,1,1,2,2,1,1,1
853,1,128,32,32,128,32,32,3,3,1,1,1,1,1,1,1,1,1
854,1,256,32,32,256,16,16,3,3,1,1,1,1,2,2,1,1,1
855,1,256,16,16,256,16,16,3,3,1,1,1,1,1,1,1,1,1
856,1,512,16,16,512,8,8,3,3,1,1,1,1,2,2,1,1,1
857,1,512,8,8,512,8,8,3,3,1,1,1,1,1,1,1,1,1
858,1,3,192,192,16,96,96,3,3,1,1,1,1,2,2,1,1,1
859,1,64,96,96,128,48,48,3,3,1,1,1,1,2,2,1,1,1
860,1,3,384,384,16,192,192,3,3,1,1,1,1,2,2,1,1,1
861,1,64,192,192,128,96,96,3,3,1,1,1,1,2,2,1,1,1
862,1,3,416,416,16,208,208,3,3,1,1,1,1,2,2,1,1,1
863,1,64,208,208,128,104,104,3,3,1,1,1,1,2,2,1,1,1
864,1,3,448,448,16,224,224,3,3,1,1,1,1,2,2,1,1,1
865,1,64,224,224,128,112,112,3,3,1,1,1,1,2,2,1,1,1
866,1,3,480,480,16,240,240,3,3,1,1,1,1,2,2,1,1,1
867,1,16,240,240,32,240,240,3,3,1,1,1,1,1,1,1,1,1
868,1,32,240,240,64,240,240,3,3,1,1,1,1,1,1,1,1,1
869,1,64,240,240,128,120,120,3,3,1,1,1,1,2,2,1,1,1
870,1,128,120,120,128,120,120,3,3,1,1,1,1,1,1,1,1,1
871,1,3,224,224,256,31,31,14,14,0,0,0,0,7,7,1,1,1
872,1,3,224,224,144,27,27,16,16,0,0,0,0,8,8,1,1,1
873,1,3,224,224,64,27,27,16,16,0,0,0,0,8,8,1,1,1
874,1,3,224,224,96,27,27,16,16,0,0,0,0,8,8,1,1,1
875,1,3,224,224,32,56,56,7,7,3,3,3,3,4,4,1,1,1
876,1,32,56,56,32,7,7,8,8,0,0,0,0,8,8,1,1,1
877,1,64,28,28,64,7,7,4,4,0,0,0,0,4,4,1,1,1
878,1,64,28,28,160,14,14,3,3,1,1,1,1,2,2,1,1,1
879,1,160,14,14,160,7,7,2,2,0,0,0,0,2,2,1,1,1
880,1,160,14,14,256,7,7,3,3,1,1,1,1,2,2,1,1,1
881,1,64,56,56,64,7,7,8,8,0,0,0,0,8,8,1,1,1
882,1,128,28,28,128,7,7,4,4,0,0,0,0,4,4,1,1,1
883,1,3,224,224,120,56,56,4,4,0,0,0,0,4,4,1,1,1
884,1,408,56,56,200,28,28,2,2,0,0,0,0,2,2,1,1,1
