conv_parameters,occurences,models
1 1024 16 16 512 16 16 1 1 0 0 0 0 1 1 1 1 1 False False,37,botnet26t_256 gcresnext26ts ecaresnet26t resnest101e bat_resnext26ts resnetrs152 resnet50_mlp seresnet269d seresnet152d resnext26ts resnetrs200 lambda_resnet26rpt_256 resnet26t lambda_resnet26t cspresnet50 resnet200d resnet101d resnetrs270 seresnext26ts eca_botnext26ts_256 eca_resnext26ts lamhalobotnet50ts_256 gcresnet50t cspresnet50d ecaresnet50t halo2botnet50ts_256 lambda_resnet50ts halonet26t resnet152d seresnet200d sehalonet33ts eca_halonext26ts halonet50ts ecaresnet200d botnet50ts_256 gcresnext50ts sebotnet33ts_256
1 512 16 16 512 8 8 3 3 1 1 1 1 2 2 1 1 16 False False,6,seresnext26ts gcresnext26ts resnext26ts eca_resnext26ts bat_resnext26ts gcresnext50ts
1 512 8 8 128 8 8 1 1 0 0 0 0 1 1 1 1 1 False False,3,eca_halonext26ts bat_resnext26ts
1 128 8 8 2 8 8 1 1 0 0 0 0 1 1 1 1 1 False False,2,bat_resnext26ts
1 128 8 8 128 8 8 1 1 0 0 0 0 1 1 1 1 1 False False,2,bat_resnext26ts
1 128 8 8 512 8 8 1 1 0 0 0 0 1 1 1 1 1 False False,2,bat_resnext26ts
1 512 8 8 2048 8 8 1 1 0 0 0 0 1 1 1 1 1 False False,102,botnet26t_256 gcresnext26ts maxvit_rmlp_tiny_rw_256 ecaresnet26t resnest101e bat_resnext26ts resnetrs152 resnet50_mlp maxvit_tiny_pm_256 regnetz_e8 seresnet269d seresnet152d resnext26ts resnetrs200 lambda_resnet26rpt_256 resnet26t lambda_resnet26t cspresnet50 resnet200d resnet101d resnetrs270 seresnext26ts eca_botnext26ts_256 eca_resnext26ts lamhalobotnet50ts_256 gcresnet50t cspresnet50d ecaresnet50t halo2botnet50ts_256 lambda_resnet50ts halonet26t resnet152d seresnet200d maxvit_tiny_rw_256 eca_halonext26ts halonet50ts ecaresnet200d botnet50ts_256 gcresnext50ts
1 1024 16 16 2048 8 8 1 1 0 0 0 0 2 2 1 1 1 False False,18,seresnext26ts eca_botnext26ts_256 botnet26t_256 eca_resnext26ts gcresnext26ts lamhalobotnet50ts_256 lambda_resnet26rpt_256 eca_halonext26ts halonet50ts resnext26ts gcresnet50t halo2botnet50ts_256 lambda_resnet26t bat_resnext26ts halonet26t lambda_resnet50ts botnet50ts_256 gcresnext50ts
1 2048 8 8 512 8 8 1 1 0 0 0 0 1 1 1 1 1 False False,66,botnet26t_256 gcresnext26ts maxvit_rmlp_tiny_rw_256 ecaresnet26t resnest101e bat_resnext26ts resnetrs152 resnet50_mlp maxvit_tiny_pm_256 regnetz_e8 seresnet269d seresnet152d resnext26ts resnetrs200 lambda_resnet26rpt_256 resnet26t lambda_resnet26t resnet200d resnet101d resnetrs270 seresnext26ts eca_botnext26ts_256 eca_resnext26ts lamhalobotnet50ts_256 gcresnet50t ecaresnet50t halo2botnet50ts_256 lambda_resnet50ts halonet26t resnet152d seresnet200d maxvit_tiny_rw_256 eca_halonext26ts halonet50ts ecaresnet200d botnet50ts_256 gcresnext50ts
1 512 8 8 512 8 8 3 3 1 1 1 1 1 1 1 1 16 False False,7,seresnext26ts gcresnext26ts resnext26ts eca_resnext26ts bat_resnext26ts gcresnext50ts
1 3 224 224 768 14 14 16 16 0 0 0 0 16 16 1 1 1 False True,21,vit_relpos_base_patch16_cls_224 deit3_base_patch16_224 vit_base_patch16_224 vit_base_patch16_18x2_224 beit_base_patch16_224 deit_base_distilled_patch16_224 convit_base mixer_b16_224 eva02_base_patch16_clip_224 vit_base_patch16_gap_224 vit_base_patch16_224_miil deit_base_patch16_224 vit_base_patch16_siglip_gap_224 vit_relpos_base_patch16_224 vit_relpos_base_patch16_clsgap_224 vit_base_patch16_rpn_224 beitv2_base_patch16_224 samvit_base_patch16_224 crossvit_base_240 vit_relpos_base_patch16_rpn_224 vit_base_patch16_siglip_224
1 3 384 384 768 24 24 16 16 0 0 0 0 16 16 1 1 1 False True,8,beit_base_patch16_384 vit_base_patch16_siglip_gap_384 deit_base_distilled_patch16_384 deit_base_patch16_384 deit3_base_patch16_384 vit_base_patch16_siglip_384 vit_base_patch16_384 cait_m36_384
1 3 224 224 1024 14 14 16 16 0 0 0 0 16 16 1 1 1 False True,5,mixer_l16_224 deit3_large_patch16_224 beitv2_large_patch16_224 vit_large_patch16_224 beit_large_patch16_224
1 3 384 384 1024 24 24 16 16 0 0 0 0 16 16 1 1 1 False True,5,deit3_large_patch16_384 vit_large_patch16_384 vit_large_patch16_siglip_384 vit_large_patch16_siglip_gap_384 beit_large_patch16_384
1 3 512 512 1024 32 32 16 16 0 0 0 0 16 16 1 1 1 False True,1,beit_large_patch16_512
1 64 64 64 64 64 64 3 3 1 1 1 1 1 1 1 1 1 False False,101,botnet26t_256 ecaresnet26t cs3darknet_l resnetrs152 resnet50_mlp seresnet269d seresnet152d resnetrs200 lambda_resnet26rpt_256 resnet26t eca_resnet33ts lambda_resnet26t gcresnet33ts cspresnet50 resnet200d resnet101d resnetrs270 lamhalobotnet50ts_256 gcresnet50t cspresnet50d ecaresnet50t halo2botnet50ts_256 cs3darknet_focus_l halonet26t lambda_resnet50ts resnet152d cspdarknet53 seresnet200d sehalonet33ts resnet32ts halonet50ts cs3sedarknet_xdw cs3sedarknet_l resnet33ts seresnet33ts ecaresnet200d botnet50ts_256 sebotnet33ts_256
1 128 64 64 128 32 32 3 3 1 1 1 1 2 2 1 1 1 False False,35,botnet26t_256 ecaresnet26t cs3darknet_l resnetrs152 seresnet269d seresnet152d resnetrs200 lambda_resnet26rpt_256 resnet26t eca_resnet33ts lambda_resnet26t gcresnet33ts cspresnet50 resnet200d resnet101d resnetrs270 lamhalobotnet50ts_256 gcresnet50t cspresnet50d ecaresnet50t halo2botnet50ts_256 cs3darknet_focus_l halonet26t lambda_resnet50ts resnet152d seresnet200d sehalonet33ts resnet32ts halonet50ts cs3sedarknet_l resnet33ts seresnet33ts ecaresnet200d botnet50ts_256 sebotnet33ts_256
1 128 32 32 128 32 32 3 3 1 1 1 1 1 1 1 1 1 False False,246,botnet26t_256 ecaresnet26t cs3darknet_l resnetrs152 resnet50_mlp seresnet269d seresnet152d resnetrs200 lambda_resnet26rpt_256 resnet26t eca_resnet33ts lambda_resnet26t gcresnet33ts cspresnet50 resnet200d resnet101d resnetrs270 lamhalobotnet50ts_256 gcresnet50t cspresnet50d ecaresnet50t halo2botnet50ts_256 cs3darknet_focus_l halonet26t lambda_resnet50ts resnet152d cspdarknet53 seresnet200d sehalonet33ts resnet32ts halonet50ts cs3sedarknet_xdw cs3sedarknet_l resnet33ts seresnet33ts ecaresnet200d botnet50ts_256 sebotnet33ts_256
1 256 32 32 256 16 16 3 3 1 1 1 1 2 2 1 1 1 False False,30,botnet26t_256 ecaresnet26t cs3darknet_l resnetrs152 seresnet269d seresnet152d resnetrs200 lambda_resnet26rpt_256 resnet26t lambda_resnet26t cspresnet50 resnet200d resnet101d resnetrs270 lamhalobotnet50ts_256 gcresnet50t cspresnet50d ecaresnet50t halo2botnet50ts_256 cs3darknet_focus_l halonet26t lambda_resnet50ts resnet152d seresnet200d sehalonet33ts halonet50ts cs3sedarknet_l ecaresnet200d botnet50ts_256 sebotnet33ts_256
